Timestamp,Host Name,Status,Average Time
2025-04-19 17:59:14,Cloudflare DNS,Success,20.819
2025-04-19 17:59:13,Google DNS Secondary,Success,14.081
2025-04-19 17:59:03,Uniwersytet Szczecin,Success,27.348
2025-04-19 17:58:59,Google DNS,Success,13.757
2025-04-19 17:58:37,Cloudflare DNS,Success,12.529
2025-04-19 17:58:36,Google DNS Secondary,Success,10.572
2025-04-19 17:58:26,Uniwersytet Szczecin,Success,21.13
2025-04-19 17:57:59,Cloudflare DNS,Success,18.906
2025-04-19 17:57:59,Google DNS Secondary,Success,12.154
2025-04-19 17:57:52,Google DNS,Success,15.035
2025-04-19 17:57:49,Uniwersytet Szczecin,Success,20.199
2025-04-19 17:57:22,Cloudflare DNS,Success,12.505
2025-04-19 17:57:22,Google DNS Secondary,Success,12.15
2025-04-19 17:57:12,Uniwersytet Szczecin,Success,22.053
2025-04-19 17:56:45,Cloudflare DNS,Success,27.094
2025-04-19 17:56:45,Google DNS,Success,11.52
2025-04-19 17:56:45,Google DNS Secondary,Success,23.508
2025-04-19 17:56:35,Uniwersytet Szczecin,Success,28.153
2025-04-19 17:56:08,Cloudflare DNS,Success,16.417
2025-04-19 17:56:08,Google DNS Secondary,Success,14.763
2025-04-19 17:55:57,Uniwersytet Szczecin,Success,33.236
2025-04-19 17:55:38,Google DNS,Success,15.665
2025-04-19 17:55:31,Cloudflare DNS,Success,16.228
2025-04-19 17:55:31,Google DNS Secondary,Success,12.022
2025-04-19 17:55:20,Uniwersytet Szczecin,Success,26.182
2025-04-19 17:54:54,Cloudflare DNS,Success,20.146
2025-04-19 17:54:53,Google DNS Secondary,Success,17.249
2025-04-19 17:54:43,Uniwersytet Szczecin,Success,27.738
2025-04-19 17:54:31,Google DNS,Success,13.923
2025-04-19 17:54:17,Cloudflare DNS,Success,18.5
2025-04-19 17:54:16,Google DNS Secondary,Success,16.471
2025-04-19 17:54:06,Uniwersytet Szczecin,Success,24.492
2025-04-19 17:53:40,Cloudflare DNS,Success,17.152
2025-04-19 17:53:39,Google DNS Secondary,Success,12.58
2025-04-19 17:53:29,Uniwersytet Szczecin,Success,32.123
2025-04-19 17:53:24,Google DNS,Success,15.785
2025-04-19 17:53:03,Cloudflare DNS,Success,14.912
2025-04-19 17:53:02,Google DNS Secondary,Success,14.767
2025-04-19 17:52:52,Uniwersytet Szczecin,Success,22.75
2025-04-19 17:52:26,Cloudflare DNS,Success,12.332
2025-04-19 17:52:25,Google DNS Secondary,Success,17.912
2025-04-19 17:52:16,Google DNS,Success,11.074
2025-04-19 17:52:15,Uniwersytet Szczecin,Success,19.67
2025-04-19 17:51:49,Cloudflare DNS,Success,20.402
2025-04-19 17:51:48,Google DNS Secondary,Success,17.167
2025-04-19 17:51:38,Uniwersytet Szczecin,Success,21.849
2025-04-19 17:51:07,Cloudflare DNS,Partial loss,24.238
2025-04-19 17:51:07,Google DNS Secondary,Partial loss,33.545
2025-04-19 17:51:05,Google DNS,Partial loss,12.03
2025-04-19 17:51:01,Uniwersytet Szczecin,Success,21.174
2025-04-19 17:50:30,Cloudflare DNS,Success,20.775
2025-04-19 17:50:29,Google DNS Secondary,Success,19.498
2025-04-19 17:50:24,Uniwersytet Szczecin,Success,24.75
2025-04-19 17:49:58,Google DNS,Success,16.219
2025-04-19 17:49:52,Cloudflare DNS,Success,15.036
2025-04-19 17:49:52,Google DNS Secondary,Success,18.546
2025-04-19 17:49:47,Uniwersytet Szczecin,Success,29.063
2025-04-19 17:49:15,Cloudflare DNS,Success,22.295
2025-04-19 17:49:15,Google DNS Secondary,Success,14.129
2025-04-19 17:49:09,Uniwersytet Szczecin,Success,22.848
2025-04-19 17:48:51,Google DNS,Success,17.11
2025-04-19 17:48:38,Cloudflare DNS,Success,22.796
2025-04-19 17:48:38,Google DNS Secondary,Success,21.067
2025-04-19 17:48:32,Uniwersytet Szczecin,Success,38.531
2025-04-19 17:48:01,Cloudflare DNS,Success,21.95
2025-04-19 17:48:01,Google DNS Secondary,Success,24.522
2025-04-19 17:47:55,Uniwersytet Szczecin,Success,45.613
2025-04-19 17:47:44,Google DNS,Success,15.338
2025-04-19 17:47:24,Cloudflare DNS,Success,78.084
2025-04-19 17:47:24,Google DNS Secondary,Success,76.549
2025-04-19 17:42:57,Uniwersytet Szczecin,Success,109.306
2025-04-19 17:42:26,Google DNS Secondary,Success,10.819
2025-04-19 17:42:26,Cloudflare DNS,Success,14.762
2025-04-19 17:42:20,Uniwersytet Szczecin,Success,30.077
2025-04-19 17:42:16,Google DNS,Success,26.968
2025-04-19 17:41:49,Google DNS Secondary,Success,23.608
2025-04-19 17:41:49,Cloudflare DNS,Success,26.622
2025-04-19 17:41:43,Uniwersytet Szczecin,Success,24.876
2025-04-19 17:41:12,Google DNS Secondary,Success,16.882
2025-04-19 17:41:12,Cloudflare DNS,Success,19.78
2025-04-19 17:41:08,Google DNS,Success,15.892
2025-04-19 17:41:06,Uniwersytet Szczecin,Success,27.21
2025-04-19 17:40:35,Google DNS Secondary,Success,17.942
2025-04-19 17:40:35,Cloudflare DNS,Success,14.655
